id,name,logo,symbol,cardCount,sdk
tk-sm-r,SM trainer Kit (Alolan Raichu),,https://assets.tcgdex.net/univ/tk/tk-sm-r/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm2,Guardians Rising,https://assets.tcgdex.net/en/sm/sm2/logo,https://assets.tcgdex.net/univ/sm/sm2/symbol,"SetCardCountResume(total=169, official=145)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2017sm,Macdonald's Collection 2017,,,"SetCardCountResume(total=12, official=12)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm3,Burning Shadows,https://assets.tcgdex.net/en/sm/sm3/logo,https://assets.tcgdex.net/univ/sm/sm3/symbol,"SetCardCountResume(total=169, official=147)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm3.5,Shining Legends,,,"SetCardCountResume(total=78, official=73)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm4,Crimson Invasion,https://assets.tcgdex.net/en/sm/sm4/logo,https://assets.tcgdex.net/univ/sm/sm4/symbol,"SetCardCountResume(total=125, official=111)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm5,Ultra Prism,https://assets.tcgdex.net/en/sm/sm5/logo,https://assets.tcgdex.net/univ/sm/sm5/symbol,"SetCardCountResume(total=173, official=156)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm6,Forbidden Light,https://assets.tcgdex.net/en/sm/sm6/logo,https://assets.tcgdex.net/univ/sm/sm6/symbol,"SetCardCountResume(total=146, official=131)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm7,Celestial Storm,https://assets.tcgdex.net/en/sm/sm7/logo,https://assets.tcgdex.net/univ/sm/sm7/symbol,"SetCardCountResume(total=183, official=168)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm7.5,Dragon Majesty,,,"SetCardCountResume(total=78, official=70)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2018sm,Macdonald's Collection 2018,,,"SetCardCountResume(total=12, official=12)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm8,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/logo,https://assets.tcgdex.net/univ/sm/sm8/symbol,"SetCardCountResume(total=236, official=214)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm9,Team Up,https://assets.tcgdex.net/en/sm/sm9/logo,https://assets.tcgdex.net/univ/sm/sm9/symbol,"SetCardCountResume(total=196, official=181)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
det1,Detective Pikachu,https://assets.tcgdex.net/en/sm/det1/logo,https://assets.tcgdex.net/univ/sm/det1/symbol,"SetCardCountResume(total=18, official=18)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm10,Unbroken Bonds,https://assets.tcgdex.net/en/sm/sm10/logo,https://assets.tcgdex.net/univ/sm/sm10/symbol,"SetCardCountResume(total=234, official=214)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm11,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/logo,https://assets.tcgdex.net/univ/sm/sm11/symbol,"SetCardCountResume(total=258, official=236)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm115,Hidden Fates,https://assets.tcgdex.net/en/sm/sm115/logo,https://assets.tcgdex.net/univ/sm/sm115/symbol,"SetCardCountResume(total=69, official=68)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sma,Yellow A Alternate,,https://assets.tcgdex.net/univ/sm/sma/symbol,"SetCardCountResume(total=94, official=94)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2019sm,Macdonald's Collection 2019,,,"SetCardCountResume(total=12, official=12)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm12,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/logo,https://assets.tcgdex.net/univ/sm/sm12/symbol,"SetCardCountResume(total=271, official=236)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swshp,SWSH Black Star Promos,https://assets.tcgdex.net/en/swsh/swshp/logo,https://assets.tcgdex.net/univ/swsh/swshp/symbol,"SetCardCountResume(total=287, official=107)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh1,Sword & Shield,https://assets.tcgdex.net/en/swsh/swsh1/logo,https://assets.tcgdex.net/univ/swsh/swsh1/symbol,"SetCardCountResume(total=216, official=202)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh2,Rebel Clash,https://assets.tcgdex.net/en/swsh/swsh2/logo,https://assets.tcgdex.net/univ/swsh/swsh2/symbol,"SetCardCountResume(total=209, official=192)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh3,Darkness Ablaze,https://assets.tcgdex.net/en/swsh/swsh3/logo,https://assets.tcgdex.net/univ/swsh/swsh3/symbol,"SetCardCountResume(total=201, official=189)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
fut2020,Pokémon Futsal 2020,https://assets.tcgdex.net/en/swsh/fut2020/logo,https://assets.tcgdex.net/univ/swsh/fut2020/symbol,"SetCardCountResume(total=5, official=5)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh3.5,Champion's Path,https://assets.tcgdex.net/en/swsh/swsh3.5/logo,https://assets.tcgdex.net/univ/swsh/swsh3.5/symbol,"SetCardCountResume(total=80, official=70)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh4,Vivid Voltage,https://assets.tcgdex.net/en/swsh/swsh4/logo,https://assets.tcgdex.net/univ/swsh/swsh4/symbol,"SetCardCountResume(total=203, official=185)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2021swsh,Macdonald's Collection 2021,,https://assets.tcgdex.net/univ/mc/2021swsh/symbol,"SetCardCountResume(total=25, official=25)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh4.5,Shining Fates,https://assets.tcgdex.net/en/swsh/swsh4.5/logo,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"SetCardCountResume(total=195, official=72)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh5,Battle Styles,https://assets.tcgdex.net/en/swsh/swsh5/logo,https://assets.tcgdex.net/univ/swsh/swsh5/symbol,"SetCardCountResume(total=183, official=163)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh6,Chilling Reign,https://assets.tcgdex.net/en/swsh/swsh6/logo,https://assets.tcgdex.net/univ/swsh/swsh6/symbol,"SetCardCountResume(total=233, official=198)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
swsh7,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/logo,https://assets.tcgdex.net/univ/swsh/swsh7/symbol,"SetCardCountResume(total=237, official=203)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
cel25,Celebrations,https://assets.tcgdex.net/en/swsh/cel25/logo,https://assets.tcgdex.net/univ/swsh/cel25/symbol,"SetCardCountResume(total=51, official=25)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
